time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.0798754853e-07,6.52028107711e-07,10.0067112295,0.000461230390954,6.2829795533,0.0,1.468372936e-05,5.34137914095e-05,0.223689842316,0.0197962564789,-0.0113644210234,0.0,474.5901782600177,473.71733292762497,474.13949857976064,475.6575986495456
0.12000000000000001,8.5609491047e-06,2.06140766226e-05,10.0250449474,0.00252625837724,6.28199708298,0.0,0.000356926201744,0.000804043062683,0.387391925907,0.0539398336698,-0.0289798295284,0.0,457.5086736516671,456.1042819088847,455.3051399623366,458.02859480664114
0.18,6.46513371802e-05,0.000142541781197,10.0539595141,0.00630645036962,6.28067939527,0.0,0.00168546112767,0.00366907334477,0.576348433739,0.0767769228597,-0.0107081680261,0.0,462.8539160715249,464.28940428577,464.4416595329211,466.231641445214
0.23999999999999996,0.00021452746765,0.000496601644122,10.0895322803,0.0112923849828,6.280263616,0.0,0.00335826063094,0.00857662984875,0.60938947888,0.0934258272855,-0.000278880712293,0.0,415.2675013762596,416.18130436630076,414.49072882744883,415.95714308180953
0.3,0.000483870670911,0.00129672629637,10.1316006322,0.0167501417932,6.28008413745,0.0,0.00563000708469,0.0187259810635,0.79277091528,0.0855189659656,-0.00905897149832,0.0,463.14727098564526,462.4563557174259,463.5679453251995,462.9528615147174
0.36000000000000004,0.000886468514823,0.0027822629176,10.1819505429,0.0220143176468,6.28007675621,0.0,0.00781322815884,0.0313155947478,0.885481795784,0.0918354676178,0.0135064179109,0.0,434.6618304104336,436.54859082930386,434.6783608709788,435.2138545447576
0.4200000000000001,0.00141574111589,0.00513231160791,10.2378492653,0.0279491371985,6.28052807248,0.0,0.00976125899947,0.0475975723974,0.977720122175,0.110238248423,-0.0084735181765,0.0,436.9885836541352,435.15267961831535,433.7595491208281,435.3105466495361
0.48000000000000015,0.0020686259989,0.00870587597747,10.3034503609,0.0345413498889,6.2803843618,0.0,0.012037962359,0.0723164317081,1.20874249754,0.109124455887,0.0076072719967,0.0,477.258516294769,478.4842041093541,477.66004889250485,477.5848591408466
0.5400000000000001,0.00284448084831,0.0137504366262,10.3780273912,0.0415972025374,6.28083576758,0.0,0.0137794515319,0.0964983651536,1.27705875941,0.130663887564,0.00735521148199,0.0,428.25334313077997,428.2317935116267,427.5472027197271,429.390912707636
0.6000000000000002,0.00371774548337,0.0204211417196,10.4574406151,0.0489927387467,6.28102394486,0.0,0.01529556969,0.126629688232,1.36990553969,0.101266795938,-0.00702555663687,0.0,436.88110758304657,435.68048321908617,437.8942988087609,435.455827675569
0.6600000000000003,0.00468509737866,0.0291283572614,10.5440908385,0.0553909427451,6.28054846737,0.0,0.0169980125569,0.164283454008,1.51821186262,0.115645536941,-0.00978631893028,0.0,454.3950593379363,454.1738264708667,453.37596569389586,454.53925303614216
0.7200000000000003,0.00576590610191,0.0402605873251,10.640004995,0.0624496887399,6.2805827478,0.0,0.0190529784312,0.207553975298,1.67865537477,0.121369549368,0.0158225091665,0.0,457.3732707485996,459.4081534088341,458.0060838931473,458.47300904455193
0.7800000000000004,0.00696132715757,0.0540877457675,10.7445803596,0.0693662902362,6.28160622104,0.0,0.0206888166091,0.254095688299,1.80694104126,0.0988959336845,0.0194206160882,0.0,448.51751129617344,448.80953571934896,450.2941918465031,448.4840908567012
0.8400000000000004,0.00822629827036,0.0705690280275,10.8528532463,0.0753909279763,6.28225406488,0.0,0.021387977266,0.295796082877,1.80212009587,0.103277662205,-0.0183173493855,0.0,408.1423526781116,404.76041186856645,405.6754120723814,406.0783871302126
0.9000000000000005,0.00952868177402,0.0896042950042,10.9601265921,0.081308398569,6.28116290198,0.0,0.022116012543,0.339217873776,1.77365702259,0.0871625135528,-0.0179247506162,0.0,397.52727313248994,397.5632643251336,399.28655668703334,397.8232117315275
0.9600000000000005,0.0108960135614,0.111470539132,11.0672583759,0.0864467300968,6.28059987838,0.0,0.0235326057582,0.390120301094,1.79731782965,0.0824050800768,0.00377443092847,0.0,414.7299690643378,416.6314612595522,416.3796951573895,415.9698886739664
1.0200000000000005,0.0123669331002,0.136895849966,11.1805017052,0.091818311475,6.28066697597,0.0,0.0254797739283,0.457949213458,1.97710057451,0.10090751097,-0.00480831124701,0.0,465.903784269369,465.2322867077887,464.87687435521616,466.3304868675232
1.0800000000000005,0.0139495392134,0.166341838017,11.302630512,0.0975396381615,6.28099145529,0.0,0.0272657054326,0.524176474145,2.09357996619,0.0809381368254,0.0205026864568,0.0,447.19778358200364,449.25462793691577,446.5296228047977,444.9052288450765
1.1400000000000006,0.015631501006,0.200108695228,11.4340861598,0.10207576086,6.28253428632,0.0,0.0286354733906,0.601888625717,2.28783201398,0.0619243791292,0.0345018485143,0.0,471.04634705265596,472.12770859708775,471.64983470028153,470.18318216897023
1.2000000000000006,0.0173555296023,0.238459617644,11.5754502388,0.105913570173,0.00111286962618,0.0,0.0286222506634,0.676842285923,2.42396209247,0.0677564197952,0.0164888454414,0.0,455.5533779821291,454.1110261811159,454.12157576004205,454.5920103898178
1.2600000000000007,0.0190437845009,0.281439284787,11.7254228296,0.11025006595,0.00222107359716,0.0,0.0275375764342,0.756227748566,2.57472148362,0.0800483740087,0.0221638654329,0.0,460.2121010945533,460.66099005530265,458.68773219072983,459.66664312448444
